month,NYSE,SPSE
Jan-65,100.00,100
Feb-65,100.43,99.49794038
Mar-65,89.25,102.009225
Apr-65,99.69,100.2251648
May-65,91.66,95.03882874
Jun-65,94.88,98.20193957
Jul-65,95.89,103.368737
Aug-65,96.76,110.3959551
Sep-65,99.53,112.1307211
Oct-65,104.26,115.588672
Nov-65,104.81,115.00111
Dec-65,104.50,116.0506734
Jan-66,102.72,119.2172186
Feb-66,100.96,126.4906201
Mar-66,99.23,122.9547401
Apr-66,102.12,121.5401678
May-66,104.01,121.7587923
Jun-66,102.62,110.4859657
Jul-66,105.82,109.8074218
Aug-66,108.39,123.4757978
Sep-66,111.00,118.9636257
Oct-66,113.82,128.7907629
Nov-66,106.30,122.8132159
Dec-66,104.99,129.2677981
Jan-67,104.76,131.2402678
Feb-67,104.52,134.9789289
Mar-67,104.29,132.4519758
Apr-67,104.06,143.2282399
May-67,103.84,143.2805942
Jun-67,103.61,154.4298235
Jul-67,103.38,162.9891622
Aug-67,103.15,170.8428541
Sep-67,102.92,175.8674181
Oct-67,102.70,181.9397489
Nov-67,102.47,192.5560818
Dec-67,102.24,189.647135
Jan-68,102.02,194.087143
Feb-68,103.61,195.1002911
Mar-68,103.08,205.326092
Apr-68,101.32,220.8117595
May-68,104.00,221.4054205
Jun-68,102.75,216.9692552
Jul-68,103.38,227.6100252
Aug-68,101.99,232.7750772
Sep-68,104.39,232.6225341
Oct-68,106.33,232.2689963
Nov-68,102.28,229.6966773
Dec-68,103.80,232.2515748
Jan-69,106.83,232.4741965
Feb-69,108.29,248.9677726
Mar-69,107.49,241.9136485
Apr-69,111.21,239.1523198
May-69,113.35,189.1021312
Jun-69,111.50,202.6813525
Jul-69,112.07,205.5672387
Aug-69,111.31,214.1000938
Sep-69,103.38,199.1238556
Oct-69,105.47,182.2715608
Nov-69,101.65,176.6611639
Dec-69,100.84,149.6829651
Jan-70,102.28,158.1293898
Feb-70,101.92,158.1367528
Mar-70,102.11,150.5915405
Apr-70,104.78,149.4708222
May-70,105.98,149.169948
Jun-70,104.93,154.6224763
Jul-70,100.59,153.7177364
Aug-70,99.11,145.8162484
Sep-70,100.68,155.0116615
Oct-70,100.59,160.0361826
Nov-70,101.41,167.2222268
Dec-70,99.39,166.4217346
Jan-71,100.20,168.5017438
Feb-71,101.92,161.4057445
Mar-71,104.89,168.9507239
Apr-71,106.83,167.1419907
May-71,108.76,166.2057071
Jun-71,106.28,172.6969302
Jul-71,104.85,174.4630165
Aug-71,106.89,175.3312358
Sep-71,106.19,175.0119886
Oct-71,100.63,177.6546591
Nov-71,102.49,179.2814905
Dec-71,102.71,180.048851
Jan-72,99.86,182.5062506
Feb-72,97.81,185.0088424
Mar-72,106.97,192.8034852
Apr-72,106.89,191.856272
May-72,102.41,186.6499055
Jun-72,101.13,188.4981269
Jul-72,101.50,194.2184795
Aug-72,99.51,199.3089987
Sep-72,96.57,193.6454165
Oct-72,100.48,192.5241907
Nov-72,101.22,195.5690504
Dec-72,103.23,198.0336277
Jan-73,104.91,194.8588107
Feb-73,103.75,195.5929759
Mar-73,101.22,192.9205754
Apr-73,99.86,188.4739717
May-73,98.33,189.703371
Jun-73,96.51,187.699407
Jul-73,99.98,192.046821
Aug-73,97.93,189.072801
Sep-73,78.18,188.8121782
Oct-73,64.24,185.1969821
Nov-73,78.76,191.6865109
Dec-73,84.96,194.1773539
Jan-74,89.71,200.4142197
Feb-74,89.47,197.5752538
Mar-74,88.79,201.975736
Apr-74,82.11,206.321936
May-74,79.40,205.4409687
Jun-74,81.24,203.6937449
Jul-74,78.53,206.1870803
Aug-74,79.05,210.2791198
Sep-74,82.34,214.0460532
Oct-74,78.62,215.2138516
Nov-74,82.16,218.3670935
Dec-74,80.06,221.9805225
Jan-75,77.35,222.7570368
Feb-75,76.13,220.3527739
Mar-75,80.15,216.0800624
Apr-75,82.33,222.08663
May-75,75.15,222.8013545
Jun-75,76.12,224.163712
Jul-75,76.30,232.1985332
Aug-75,75.53,234.7064491
Sep-75,75.04,253.7813222
Oct-75,74.56,245.5032941
Nov-75,76.45,242.730851
Dec-75,76.28,241.754561
Jan-76,79.69,232.2520925
Feb-76,79.36,233.831811
Mar-76,77.00,235.8962724
Apr-76,73.86,233.1574851
May-76,73.19,229.3455028
Jun-76,74.94,224.7360474
Jul-76,71.93,223.2286795
Aug-76,68.14,221.8151931
Sep-76,65.28,218.9055665
Oct-76,67.99,214.8678217
Nov-76,66.11,205.1210125
Dec-76,66.13,194.2908838
Jan-77,65.96,206.8921168
Feb-77,62.88,209.3482209
Mar-77,59.93,212.5992728
Apr-77,58.52,208.1143164
May-77,56.99,190.5582527
Jun-77,55.95,189.7569057
Jul-77,59.44,187.8707624
Aug-77,65.60,186.1436252
Sep-77,66.66,190.8266943
Oct-77,66.60,193.0863911
Nov-77,67.51,198.4865649
