year,index
1885,100
1886,96.138
1887,112.414
1888,108.138
1889,101.049
1890,101.049
1891,92.894
1892,108.679
1893,115.225
1894,131.031
1895,121.931
1896,134.292
1897,132.081
1898,135.594
1899,143.884
1900,140.858
1901,144.372
1902,156.883
1903,146.758
1904,162.295
1905,145.572
1906,139.403
1907,134.157
1908,145.935
1909,152.111
1910,162.309
1911,150.335
1912,161.899
1913,170.572
1914,166.629
1915,174.304
1916,158.944
1917,142.964
1918,102.894
1919,89.647
1920,88.116
1921,80.849
1922,93.433
1923,108.271
1924,139.604
1925,177.985
1926,203.654
1927,216.226
1928,231.965
1929,234.6740803
1930,245.1717664
1931,247.5422117
1932,243.6479088
1933,252.7910547
1934,275.9875547
1935,315.607854
1936,337.1111788
1937,365.0485693
1938,364.0326642
1939,378.7632883
1940,363.0167591
1941,
1942,
1943,377.9922404
1944,
1945,339.9988898
1946,323.9044124
1947,359.9690438
1948,406.7006788
1949,444.1198504
1950,481.0310693
1951,475.1049562
1952,497.2855511
1953,510.1536825
1954,525.9002117
1955,560.948938
1956,603.7862701
1957,605.4794453
1958,639.5122664
1959,621.2259745
1960,667.9576095
1961,693.8631898
1962,700.9745255
1963,674.7303102
1964,751.6004635
1965,784.6173796
1966,813.4013577
1967,840.3228431
1968,880.7897299
1969,884.6840328
1970,943.9451642
1971,959.5223759
1972,955.4587555
1973,1025.894843
1974,1045.704993
1975,1038.762974
1976,1077.367369
1977,1092.775263
1978,1110.553602
1979,1095.822978
1980,1088.20369
1981,1089.050277
1982,1106.489982
1983,1131.718292
1984,1135.781912
1985,1135.612595
1986,1171.846544
1987,1176.756752
1988,1191.995328
1989,1203.678237
1990,1166.597701
1991,1086.84915
1992,926.1668248
1993,834.3967299
1994,719.0915
1995,681.5030109
1996,662.2008139
1997,676.4234854
1998,661.5235438
1999,693.8631898
2000,754.1402263
2001,802.734354
2002,847.6034964
2003,913.806646
2004,990.8461168
2005,1060.604934
2006,1145.602328
2007,1517.39852
2008,1928.361041
2009,1412.557003
2010,1763.92694
2011,2368.089608
2012,2548.790766
2013,2629.192653
2014,2360.770707
2015,1568.704289
2016,1466.288006
2017,1807.931352
2018,1908.234796
2019,1935.931245
2020,1721.186953
2021,2063.159249
